time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-10,06085,10,diffI,56536,8039,812,278,1063,143,42,20,96,229
2020-05-05,06019-10,06019,10,diffI,8357,1306,160,57,170,29,10,3,96,230
2020-05-05,36005-10,36005,10,diffI,1236,84,9,3,14,3,2,0,96,231
2020-05-05,36081-10,36081,10,diffI,43,4,0,0,1,0,0,0,96,232
2020-05-06,06085-10,06085,10,diffI,56294,8796,888,308,1168,137,57,21,97,229
2020-05-06,06019-10,06019,10,diffI,8243,1405,177,64,168,24,10,7,97,230
2020-05-06,36005-10,36005,10,diffI,1405,96,10,4,14,2,1,0,97,231
2020-05-06,36081-10,36081,10,diffI,49,4,0,0,0,0,0,0,97,232
2020-05-07,06085-10,06085,10,diffI,55087,9440,973,327,1118,164,57,25,98,229
2020-05-07,06019-10,06019,10,diffI,7999,1506,176,62,175,17,6,2,98,230
2020-05-07,36005-10,36005,10,diffI,1603,112,12,5,20,2,1,0,98,231
2020-05-07,36081-10,36081,10,diffI,55,4,0,0,0,0,0,0,98,232
2020-05-08,06085-10,06085,10,diffI,53817,10193,1044,355,1280,155,63,28,99,229
2020-05-08,06019-10,06019,10,diffI,7839,1597,182,61,173,24,8,3,99,230
2020-05-08,36005-10,36005,10,diffI,1866,132,14,6,22,3,1,1,99,231
2020-05-08,36081-10,36081,10,diffI,76,3,0,0,1,0,0,0,99,232
2020-05-09,06085-10,06085,10,diffI,51154,10957,1145,386,1348,199,69,34,100,229
2020-05-09,06019-10,06019,10,diffI,7519,1679,183,67,188,23,14,5,100,230
2020-05-09,36005-10,36005,10,diffI,2053,157,15,7,28,1,1,0,100,231
2020-05-09,36081-10,36081,10,diffI,67,3,0,0,0,0,0,0,100,232